geo,excess_mortality,pop,ratio
AL,-39.60000000000008,2862427,-1.3834413943132902
AL0,-31.799999999999955,2862427,-1.1109453621000625
AL01,-120.19999999999992,813758,-14.770976137868988
AL02,147.60000000000002,1170142,12.613853703225764
AL03,-59.19999999999996,878527,-6.738552144669424
ALX,-7.8,0,-inf
ALXX,-7.8,0,-inf
AT,1006.3999999999996,8858775,11.360487200544089
AT1,587.2000000000004,3868466,15.179143360701643
AT11,2.399999999999956,293433,0.8179039167373662
AT12,201.80000000000007,1677542,12.029505073494438
AT13,382.9999999999999,1897491,20.18454896492262
AT2,174.80000000000013,1803991,9.689627054680434
AT21,-61.799999999999955,560939,-11.017240733840927
AT22,236.60000000000002,1243052,19.033797459800557
AT3,244.40000000000026,3186318,7.6702953063693045
AT31,26.99999999999997,1482095,1.8217455696159808
AT32,108.40000000000005,555221,19.523757206589817
AT33,90.40000000000002,754705,11.978190153768693
AT34,18.6,394297,4.717256281432524
BE,6897.8,11455519,60.213771196224286
BE1,1156.2,1215290,95.13778604283752
BE10,1156.2,1215290,95.13778604283752
BE2,3435.2,6596233,52.07820888073541
BE21,598.4,1860470,32.163915569721624
BE22,986.9999999999998,875842,112.69155852311259
BE23,521.8,1516283,34.41310098444683
BE24,545.2,1146643,47.5474929860471
BE25,782.8,1196995,65.39709856766318
BE3,2306.3999999999996,3643996,63.293153999071336
BE31,120.79999999999998,404270,29.881020110322304
BE32,938.0000000000002,1346082,69.6837191196376
BE33,820.8000000000002,1110068,73.94141620153002
BE34,131.0,286685,45.69475207980885
BE35,295.79999999999995,496891,59.53015852571287
BG,-2454.000000000001,7000039,-35.05694753986372
BG3,-1521.6000000000004,3487586,-43.629031656853776
BG31,-559.6,742304,-75.38690347889813
BG32,-326.79999999999995,784168,-41.674743167280475
BG33,-324.1999999999999,929035,-34.896424784857395
BG34,-310.99999999999983,1032079,-30.13335219493855
BG4,-932.3999999999995,3512453,-26.545550929791787
BG41,-527.5999999999998,2102205,-25.097457193756068
BG42,-404.8000000000001,1410248,-28.704171181239055
CH,766.6000000000001,8544527,8.971824888609985
CH0,766.6000000000001,8544527,8.971824888609985
CH01,639.7999999999998,1642580,38.95091867671589
CH02,-90.0,1877154,-4.794492087489892
CH03,36.19999999999999,1161105,3.1177197583336556
CH04,-141.20000000000007,1520968,-9.283561521346936
CH05,-0.39999999999997726,1176321,-0.03400432364975013
CH06,-12.59999999999998,813056,-1.5497087531486122
CH07,334.8,353343,94.7521247060222
CY,225.60000000000002,875899,25.75639428746922
CY0,225.60000000000002,875899,25.75639428746922
CY00,225.60000000000002,875899,25.75639428746922
CZ,-71.60000000000059,10649800,-0.6723130950816033
CZ0,-71.60000000000059,10649800,-0.6723130950816033
CZ01,3.5999999999998806,1308632,0.27509643658414895
CZ02,-91.39999999999995,1369332,-6.674787414593389
