geo,pop,1-27,1-27_ratio,28-52,28-52_ratio
AL,2862427,-39.60000000000008,-1.3834413943132902,1311.8000000000002,45.82824295606491
AL0,2862427,-31.799999999999955,-1.1109453621000625,1311.6,45.821255878315846
AL01,813758,-120.19999999999992,-14.770976137868988,434.59999999999997,53.40654101096394
AL02,1170142,147.60000000000002,12.613853703225764,589.8,50.40413898484115
AL03,878527,-59.19999999999996,-6.738552144669424,287.19999999999993,32.69108405319358
ALX,0,-7.8,-inf,0.19999999999999984,inf
ALXX,0,-7.8,-inf,0.19999999999999984,inf
AT,8858775,1006.3999999999996,11.360487200544089,7497.5999999999985,84.63472658465757
AT1,3868466,587.2000000000004,15.179143360701643,2322.2,60.02896238457311
AT11,293433,2.399999999999956,0.8179039167373662,203.99999999999997,69.5218329226774
AT12,1677542,201.80000000000007,12.029505073494438,1073.0,63.9626310399382
AT13,1897491,382.9999999999999,20.18454896492262,1045.2,55.083265217068224
AT2,1803991,174.80000000000013,9.689627054680434,2314.2,128.28223644131262
AT21,560939,-61.799999999999955,-11.017240733840927,788.8000000000001,140.62135098468818
AT22,1243052,236.60000000000002,19.033797459800557,1525.4,122.7140940202019
AT3,3186318,244.40000000000026,7.6702953063693045,2861.2,89.79643588618586
AT31,1482095,26.99999999999997,1.8217455696159808,1333.8000000000002,89.99423113902957
AT32,555221,108.40000000000005,19.523757206589817,493.6000000000001,88.90153650528349
AT33,754705,90.40000000000002,11.978190153768693,677.4000000000001,89.75692489118265
AT34,394297,18.6,4.717256281432524,356.40000000000003,90.38871713454579
BE,11455519,6897.8,60.213771196224286,10311.6,90.0142542646911
BE1,1215290,1156.2,95.13778604283752,796.8000000000001,65.5645977503312
BE10,1215290,1156.2,95.13778604283752,796.8000000000001,65.5645977503312
BE2,6596233,3435.2,52.07820888073541,4868.4,73.80576156118197
BE21,1860470,598.4,32.163915569721624,1570.8000000000002,84.43027837051929
BE22,875842,986.9999999999998,112.69155852311259,227.80000000000004,26.0092573774722
BE23,1516283,521.8,34.41310098444683,1340.3999999999999,88.40038436096691
BE24,1146643,545.2,47.5474929860471,630.2,54.96043668343155
BE25,1196995,782.8,65.39709856766318,1099.1999999999998,91.82995751861952
BE3,3643996,2306.3999999999996,63.293153999071336,4646.4,127.50837267658909
BE31,404270,120.79999999999998,29.881020110322304,365.6,90.43461053256488
BE32,1346082,938.0000000000002,69.6837191196376,1907.3999999999996,141.70013416716066
BE33,1110068,820.8000000000002,73.94141620153002,1645.8,148.2611876029216
BE34,286685,131.0,45.69475207980885,234.2,81.6924499014598
BE35,496891,295.79999999999995,59.53015852571287,493.4,99.29743142862318
BG,7000039,-2454.000000000001,-35.05694753986372,17255.8,246.51005515826412
BG3,3487586,-1521.6000000000004,-43.629031656853776,8598.0,246.53155506416186
BG31,742304,-559.6,-75.38690347889813,1936.5999999999997,260.89041686424963
BG32,784168,-326.79999999999995,-41.674743167280475,2384.6,304.0930004794891
BG33,929035,-324.1999999999999,-34.896424784857395,2106.2000000000003,226.708358673247
BG34,1032079,-310.99999999999983,-30.13335219493855,2170.6,210.31335779528507
BG4,3512453,-932.3999999999995,-26.545550929791787,8657.8,246.48870746455538
BG41,2102205,-527.5999999999998,-25.097457193756068,4634.200000000001,220.44472351649816
BG42,1410248,-404.8000000000001,-28.704171181239055,4023.6,285.31151967597185
CH,8544527,766.6000000000001,8.971824888609985,5065.6,59.28473278860258
CH0,8544527,766.6000000000001,8.971824888609985,5065.6,59.28473278860258
CH01,1642580,639.7999999999998,38.95091867671589,1179.6000000000001,71.8138538153393
CH02,1877154,-90.0,-4.794492087489892,1258.6000000000001,67.04830823683088
CH03,1161105,36.19999999999999,3.1177197583336556,496.20000000000005,42.73515315152377
CH04,1520968,-141.20000000000007,-9.283561521346936,556.6,36.59511574208005
CH05,1176321,-0.39999999999997726,-0.03400432364975013,812.8,69.09678565629619
CH06,813056,-12.59999999999998,-1.5497087531486122,428.8,52.739294710327464
CH07,353343,334.8,94.7521247060222,333.0,94.242704680721
CY,875899,225.60000000000002,25.75639428746922,82.59999999999998,9.430311029011333
CY0,875899,225.60000000000002,25.75639428746922,82.59999999999998,9.430311029011333
CY00,875899,225.60000000000002,25.75639428746922,82.59999999999998,9.430311029011333
CZ,10649800,-71.60000000000059,-0.6723130950816033,17093.4,160.50442261826515
CZ0,10649800,-71.60000000000059,-0.6723130950816033,17093.4,160.50442261826515
CZ01,1308632,3.5999999999998806,0.27509643658414895,1245.4,95.16808392275293
CZ02,1369332,-91.39999999999995,-6.674787414593389,2000.0,146.05661738716398
CZ03,1226805,30.399999999999977,2.477981423290578,1733.0,141.26124363692682
CZ04,1115685,8.19999999999996,0.7349744775631079,2140.8,191.88211726428162
CZ05,1513693,-145.4000000000001,-9.605646587518082,2481.3999999999996,163.93020249152235
CZ06,1696941,-74.0,-4.360788029754717,2907.2000000000007,171.3200400013908
CZ07,1215413,46.99999999999994,3.8669982960524485,2480.2,204.06232284828283
CZ08,1203299,150.00000000000003,12.465729631621072,2105.4,174.96898110943332
DE,83019213,1450.0,1.7465836492571905,40696.25,49.02027919729858
DE1,11069533,953.75,8.615991297916542,4412.25,39.859405089627536
DE2,13076721,2117.0,16.189073698215324,6399.75,48.94002097314763
DE3,3644826,141.25,3.875356464204327,2071.0,56.82027070702415
DE4,2511917,692.5,27.568586063950363,2215.75,88.20952284649533
DE5,682986,86.75,12.701578070414328,128.25,18.777837320237897
DE6,1841179,143.5,7.793919005159194,387.5,21.046296965151132
DE7,6265809,43.25,0.6902540438114216,3164.25,50.50026261572928
